From	To	Species	Gene Name
mir323b	574410	Homo sapiens	microRNA 323b(MIR323B)
mir26a1	407015	Homo sapiens	microRNA 26a-1(MIR26A1)
mir29a	407021	Homo sapiens	microRNA 29a(MIR29A)
mir26a2	407016	Homo sapiens	microRNA 26a-2(MIR26A2)
mir29c	407026	Homo sapiens	microRNA 29c(MIR29C)
mir185	406961	Homo sapiens	microRNA 185(MIR185)
mir186	406962	Homo sapiens	microRNA 186(MIR186)
mir187	406963	Homo sapiens	microRNA 187(MIR187)
mir188	406964	Homo sapiens	microRNA 188(MIR188)
mir182	406958	Homo sapiens	microRNA 182(MIR182)
mir183	406959	Homo sapiens	microRNA 183(MIR183)
mir184	406960	Homo sapiens	microRNA 184(MIR184)
mir516a1	574498	Homo sapiens	microRNA 516a-1(MIR516A1)
mir516a2	574499	Homo sapiens	microRNA 516a-2(MIR516A2)
mir106b	406900	Homo sapiens	microRNA 106b(MIR106B)
mir106a	406899	Homo sapiens	microRNA 106a(MIR106A)
mir299	407023	Homo sapiens	microRNA 299(MIR299)
mir3157	100422892	Homo sapiens	microRNA 3157(MIR3157)
mir296	407022	Homo sapiens	microRNA 296(MIR296)
mir301a	407027	Homo sapiens	microRNA 301a(MIR301A)
mir216a	406998	Homo sapiens	microRNA 216a(MIR216A)
mir15b	406949	Homo sapiens	microRNA 15b(MIR15B)
mir301b	100126318	Homo sapiens	microRNA 301b(MIR301B)
mir27a	407018	Homo sapiens	microRNA 27a(MIR27A)
mir15a	406948	Homo sapiens	microRNA 15a(MIR15A)
mir27b	407019	Homo sapiens	microRNA 27b(MIR27B)
mir26b	407017	Homo sapiens	microRNA 26b(MIR26B)
mir520b	574473	Homo sapiens	microRNA 520b(MIR520B)
mir520a	574467	Homo sapiens	microRNA 520a(MIR520A)
mir1271	100302203	Homo sapiens	microRNA 1271(MIR1271)
mir3690	100500894	Homo sapiens	microRNA 3690(MIR3690)
mir3691	100500900	Homo sapiens	microRNA 3691(MIR3691)
mir1275	100302123	Homo sapiens	microRNA 1275(MIR1275)
mir152	406943	Homo sapiens	microRNA 152(MIR152)
mir1277	100302214	Homo sapiens	microRNA 1277(MIR1277)
mir154	406946	Homo sapiens	microRNA 154(MIR154)
mir1276	100302121	Homo sapiens	microRNA 1276(MIR1276)
mir155	406947	Homo sapiens	microRNA 155(MIR155)
mir150	406942	Homo sapiens	microRNA 150(MIR150)
mir92a1	407048	Homo sapiens	microRNA 92a-1(MIR92A1)
mir376a2	664615	Homo sapiens	microRNA 376a-2(MIR376A2)
mir125a	406910	Homo sapiens	microRNA 125a(MIR125A)
mir376a1	494325	Homo sapiens	microRNA 376a-1(MIR376A1)
mir320d2	100302169	Homo sapiens	microRNA 320d-2(MIR320D2)
